일자|시간|구분,공급량
2019-01-03 19 A,2615.212757838846
2019-01-03 20 A,2633.6501996350535
2019-01-03 21 A,2603.288760636043
2019-01-03 22 A,2542.7145297501656
2019-01-03 23 A,2437.0886019967193
2019-01-03 24 A,2299.585031833782
2019-01-04 01 A,2012.6650261739244
2019-01-04 02 A,1748.1103483838967
2019-01-04 03 A,1646.1559321386603
2019-01-04 04 A,1645.6751525235347
2019-01-04 05 A,1847.9271833111966
2019-01-04 06 A,1983.6228382116435
2019-01-04 07 A,2300.4733256065833
2019-01-04 08 A,2646.403517376612
2019-01-04 09 A,2839.9286238437276
2019-01-04 10 A,2752.9417348128936
2019-01-04 11 A,2660.9202208626098
2019-01-04 12 A,2536.547982061659
2019-01-04 13 A,2414.4998506088364
2019-01-04 14 A,2314.8688549986027
2019-01-04 15 A,2132.1075411237675
2019-01-04 16 A,2014.7413372275953
2019-01-04 17 A,2174.9373579915405
2019-01-04 18 A,2466.033727548275
2019-01-04 19 A,2610.2959454297347
2019-01-04 20 A,2640.3616609753267
2019-01-04 21 A,2617.0008952006347
2019-01-04 22 A,2529.6414712387395
2019-01-04 23 A,2438.4267061470364
2019-01-04 24 A,2318.169563236646
2019-01-05 01 A,1928.1668529410058
2019-01-05 02 A,1713.789084856266
2019-01-05 03 A,1602.927747176928
2019-01-05 04 A,1613.9552573847059
2019-01-05 05 A,1782.9739761483083
2019-01-05 06 A,1871.3472479959376
2019-01-05 07 A,2072.7621849920574
2019-01-05 08 A,2281.1400509038604
2019-01-05 09 A,2426.8568418360783
2019-01-05 10 A,2500.1362464524946
2019-01-05 11 A,2507.9734067469717
2019-01-05 12 A,2353.258797080787
2019-01-05 13 A,2252.525254008403
2019-01-05 14 A,2171.188238440089
2019-01-05 15 A,2029.868994668235
2019-01-05 16 A,1928.4097048908711
2019-01-05 17 A,2062.396166260757
2019-01-05 18 A,2328.5104220373255
2019-01-05 19 A,2524.2582240675238
2019-01-05 20 A,2507.3409772087757
2019-01-05 21 A,2450.264609556254
2019-01-05 22 A,2334.0113454255347
2019-01-05 23 A,2248.810883805557
2019-01-05 24 A,2119.3278488040087
2019-01-06 01 A,1882.1720001773895
2019-01-06 02 A,1632.650738319535
2019-01-06 03 A,1524.677203559278
2019-01-06 04 A,1589.7550606035768
2019-01-06 05 A,1733.2079079610478
2019-01-06 06 A,1845.4700596337643
2019-01-06 07 A,2007.678279467989
2019-01-06 08 A,2144.194767757365
2019-01-06 09 A,2383.477368564034
2019-01-06 10 A,2450.187349874778
2019-01-06 11 A,2407.232176114801
2019-01-06 12 A,2277.2697390869553
2019-01-06 13 A,2231.213655187368
2019-01-06 14 A,2126.787262615151
2019-01-06 15 A,1975.7914304376466
2019-01-06 16 A,1904.8290554673856
2019-01-06 17 A,1999.3710050402274
2019-01-06 18 A,2353.52688238399
2019-01-06 19 A,2506.0118839830443
2019-01-06 20 A,2495.5219123760853
2019-01-06 21 A,2458.7561448308097
2019-01-06 22 A,2382.515016726701
2019-01-06 23 A,2301.5140467435467
2019-01-06 24 A,2181.9819124635774
2019-01-07 01 A,1987.0593234556059
2019-01-07 02 A,1718.5133194535786
2019-01-07 03 A,1615.3790013926714
2019-01-07 04 A,1643.8750795922651
2019-01-07 05 A,1845.3932584039485
2019-01-07 06 A,2032.5601183847002
2019-01-07 07 A,2311.6232266287157
2019-01-07 08 A,2732.5331642683013
2019-01-07 09 A,2928.202765345396
2019-01-07 10 A,2736.7952577943643
2019-01-07 11 A,2625.3441776773425
2019-01-07 12 A,2514.6916484710728
2019-01-07 13 A,2423.407061737825
2019-01-07 14 A,2334.741929038074
2019-01-07 15 A,2139.5164511057696
2019-01-07 16 A,1999.2137180699751
2019-01-07 17 A,2155.638683536535
2019-01-07 18 A,2474.2298201221056
2019-01-07 19 A,2600.549832940589
2019-01-07 20 A,2641.695294367103
2019-01-07 21 A,2604.5606883387513
2019-01-07 22 A,2544.135569863669
2019-01-07 23 A,2431.983589446367
2019-01-07 24 A,2282.4069764814362
2019-01-08 01 A,1993.0361795963045
2019-01-08 02 A,1717.4122311768767
2019-01-08 03 A,1598.6981477541121
2019-01-08 04 A,1638.2596466090426
2019-01-08 05 A,1841.2546737636842
2019-01-08 06 A,2016.3422811174335
2019-01-08 07 A,2329.9152846145876
2019-01-08 08 A,2789.4582076366733
2019-01-08 09 A,2918.5654868639713
2019-01-08 10 A,2821.6207758528903
2019-01-08 11 A,2610.8930852049675
2019-01-08 12 A,2505.8300299643215
2019-01-08 13 A,2408.4624530408214
2019-01-08 14 A,2323.7030614986684
2019-01-08 15 A,2147.70878417031
2019-01-08 16 A,2009.053621298543
2019-01-08 17 A,2174.51131559604
2019-01-08 18 A,2472.2392028647614
2019-01-08 19 A,2608.0146066483703
2019-01-08 20 A,2729.8289582881935
2019-01-08 21 A,2626.5874456674505
2019-01-08 22 A,2575.6000424597532
2019-01-08 23 A,2515.588553461859
2019-01-08 24 A,2363.4167306843215
2019-01-09 01 A,2068.290053561132
2019-01-09 02 A,1763.4453883822616
2019-01-09 03 A,1652.454945813877
2019-01-09 04 A,1696.1796374127841
2019-01-09 05 A,1926.3878680992634
2019-01-09 06 A,2142.6283214886444
2019-01-09 07 A,2403.7481316241747
2019-01-09 08 A,2896.5862990488486
2019-01-09 09 A,3024.4946826021674
2019-01-09 10 A,2890.4160640740015
2019-01-09 11 A,2697.225306630686
2019-01-09 12 A,2598.702495916686
2019-01-09 13 A,2474.323787236574
2019-01-09 14 A,2432.1919139337483
2019-01-09 15 A,2325.0478515154196
2019-01-09 16 A,2216.221194972886
2019-01-09 17 A,2302.4195100969355
2019-01-09 18 A,2538.9070072663894
2019-01-09 19 A,2726.5153067320916
2019-01-09 20 A,2763.231398573989
2019-01-09 21 A,2703.7820015147827
2019-01-09 22 A,2657.419037962326
2019-01-09 23 A,2560.4391341056125
2019-01-09 24 A,2441.946014415658
2019-01-10 01 A,2183.670572896154
2019-01-10 02 A,1873.5143889852811
2019-01-10 03 A,1727.9819678786268
2019-01-10 04 A,1779.2907061298547
2019-01-10 05 A,1996.4094819869729
2019-01-10 06 A,2175.0375586643986
2019-01-10 07 A,2411.641486554404
2019-01-10 08 A,2781.215856648386
2019-01-10 09 A,3033.7965905410656
2019-01-10 10 A,2848.4363440926963
2019-01-10 11 A,2718.281557960473
2019-01-10 12 A,2611.145288416452
2019-01-10 13 A,2482.945042008562
2019-01-10 14 A,2393.019401125588
2019-01-10 15 A,2286.392331455919
2019-01-10 16 A,2185.334336388519
2019-01-10 17 A,2293.816141207388
2019-01-10 18 A,2544.567636019126
2019-01-10 19 A,2748.230150664809
2019-01-10 20 A,2770.0620633200597
2019-01-10 21 A,2734.5552013136594
2019-01-10 22 A,2692.5956932194395
2019-01-10 23 A,2578.1069516956795
2019-01-10 24 A,2482.9891725308667
2019-01-11 01 A,2252.046702017353
2019-01-11 02 A,1960.9985941217394
2019-01-11 03 A,1768.6513242543442
2019-01-11 04 A,1826.0004388223033
2019-01-11 05 A,2050.9450189521417
2019-01-11 06 A,2230.564029843828
2019-01-11 07 A,2446.8321057337243
2019-01-11 08 A,2837.6899533687506
2019-01-11 09 A,3041.143587098938
2019-01-11 10 A,2896.897116998652
2019-01-11 11 A,2734.2978260146165
2019-01-11 12 A,2618.63010045977
2019-01-11 13 A,2489.371826319525
2019-01-11 14 A,2393.2118083558753
2019-01-11 15 A,2327.1069541579864
2019-01-11 16 A,2223.649123317578
2019-01-11 17 A,2311.8404172181226
2019-01-11 18 A,2562.206337425965
2019-01-11 19 A,2756.4936710534575
2019-01-11 20 A,2762.6696624996102
2019-01-11 21 A,2746.370669539906
2019-01-11 22 A,2680.1008847296953
2019-01-11 23 A,2545.419437955465
2019-01-11 24 A,2473.7710913140018
2019-01-12 01 A,2136.648524211624
2019-01-12 02 A,1894.953027688875
2019-01-12 03 A,1762.1501642667783
2019-01-12 04 A,1784.0813670565965
2019-01-12 05 A,1931.4406364259464
2019-01-12 06 A,2034.4119780578403
2019-01-12 07 A,2196.0169759493
2019-01-12 08 A,2337.0864834255535
2019-01-12 09 A,2509.9040685922455
2019-01-12 10 A,2569.3870439545835
2019-01-12 11 A,2559.721858092939
2019-01-12 12 A,2487.890973765739
2019-01-12 13 A,2350.4733759456585
2019-01-12 14 A,2271.2953054109626
2019-01-12 15 A,2237.1920412564878
2019-01-12 16 A,2191.684716642355
2019-01-12 17 A,2251.7359171441935
2019-01-12 18 A,2406.1868583859587
2019-01-12 19 A,2563.9913703224183
2019-01-12 20 A,2589.9073069463557
2019-01-12 21 A,2544.385205597479
2019-01-12 22 A,2392.9428626751364
2019-01-12 23 A,2336.85766540852
2019-01-12 24 A,2264.46493967156
2019-01-13 01 A,2084.773449788932
2019-01-13 02 A,1858.348044712784
2019-01-13 03 A,1734.775818296924
2019-01-13 04 A,1783.7971361034624
2019-01-13 05 A,1931.9983904446754
2019-01-13 06 A,1985.946848643248
2019-01-13 07 A,2070.125623679957
2019-01-13 08 A,2244.2001682539403
2019-01-13 09 A,2440.559047112051
2019-01-13 10 A,2471.576068167349
2019-01-13 11 A,2488.7278176568802
2019-01-13 12 A,2344.221736856286
2019-01-13 13 A,2279.6685232003633
2019-01-13 14 A,2260.888927969098
2019-01-13 15 A,2171.53167089153
2019-01-13 16 A,2177.8295553173325
2019-01-13 17 A,2206.7051505521686
2019-01-13 18 A,2378.456709108989
2019-01-13 19 A,2558.0990611313546
2019-01-13 20 A,2585.682493188025
2019-01-13 21 A,2544.96192792917
2019-01-13 22 A,2451.655141283312
2019-01-13 23 A,2289.8129753853577
2019-01-13 24 A,2254.442394551185
2019-01-14 01 A,2188.0280544268658
2019-01-14 02 A,1867.7855224147957
2019-01-14 03 A,1720.9982771363395
2019-01-14 04 A,1767.5340251801636
2019-01-14 05 A,1988.0155180083636
2019-01-14 06 A,2194.263798979316
2019-01-14 07 A,2432.0980245688133
2019-01-14 08 A,2809.008491432477
2019-01-14 09 A,3050.6257566843074
2019-01-14 10 A,2891.8708545810177
2019-01-14 11 A,2718.8439682082653
2019-01-14 12 A,2599.137936979727
2019-01-14 13 A,2491.508122635707
2019-01-14 14 A,2407.876448157179
2019-01-14 15 A,2283.821717060666
2019-01-14 16 A,2185.9962781352647
2019-01-14 17 A,2259.184992409485
2019-01-14 18 A,2543.5780330679627
2019-01-14 19 A,2700.838081732211
2019-01-14 20 A,2731.0762972313696
2019-01-14 21 A,2682.0811360602547
2019-01-14 22 A,2571.2577300738917
2019-01-14 23 A,2512.9965207242567
2019-01-14 24 A,2360.2218697471094
2019-01-15 01 A,2103.8566692749646
2019-01-15 02 A,1789.122631560217
2019-01-15 03 A,1664.4350812950972
2019-01-15 04 A,1700.7480491407878
2019-01-15 05 A,1918.5462246019374
2019-01-15 06 A,2128.2510636310194
2019-01-15 07 A,2386.447230426645
2019-01-15 08 A,2903.903482473249
2019-01-15 09 A,3019.403715972311
2019-01-15 10 A,2920.8170677976423
2019-01-15 11 A,2665.967494359583
2019-01-15 12 A,2574.2201334131914
2019-01-15 13 A,2447.014084100031
2019-01-15 14 A,2345.0897439778037
2019-01-15 15 A,2147.848325941749
2019-01-15 16 A,1998.520941734349
2019-01-15 17 A,2130.451035383471
2019-01-15 18 A,2447.9226483717403
2019-01-15 19 A,2613.6627379235315
2019-01-15 20 A,2739.772611365757
2019-01-15 21 A,2614.861040709941
2019-01-15 22 A,2567.5872423682067
2019-01-15 23 A,2480.5045226021016
2019-01-15 24 A,2327.758320094397
2019-01-16 01 A,2043.7280817717644
2019-01-16 02 A,1754.5675642811052
2019-01-16 03 A,1638.9439175882844
2019-01-16 04 A,1673.7281637224687
2019-01-16 05 A,1860.4912440757448
2019-01-16 06 A,2022.20867733462
2019-01-16 07 A,2350.0471178232706
2019-01-16 08 A,2778.97626799595
2019-01-16 09 A,2949.622085797976
2019-01-16 10 A,2773.626490900147
2019-01-16 11 A,2661.6184213776523
2019-01-16 12 A,2560.240813867917
2019-01-16 13 A,2473.842005978516
2019-01-16 14 A,2365.017259946215
2019-01-16 15 A,2199.829935185562
2019-01-16 16 A,2126.5380595904508
2019-01-16 17 A,2189.6998000583703
2019-01-16 18 A,2469.6102602759233
2019-01-16 19 A,2613.6627379235315
2019-01-16 20 A,2657.325941769821
2019-01-16 21 A,2618.6658461761463
2019-01-16 22 A,2548.1095067644437
2019-01-16 23 A,2461.1778400191474
2019-01-16 24 A,2318.9538954321497
2019-01-17 01 A,2055.4242975315747
2019-01-17 02 A,1748.2525148224597
2019-01-17 03 A,1627.61519120045
2019-01-17 04 A,1677.9970957467772
2019-01-17 05 A,1840.9238110621686
2019-01-17 06 A,2038.6032588182718
2019-01-17 07 A,2296.120436825382
2019-01-17 08 A,2683.367619284624
2019-01-17 09 A,2902.9959330992683
2019-01-17 10 A,2742.155297295397
2019-01-17 11 A,2615.9960095346096
2019-01-17 12 A,2510.595895494893
2019-01-17 13 A,2398.058121299802
2019-01-17 14 A,2312.881756278621
2019-01-17 15 A,2098.529368474673
2019-01-17 16 A,1959.2080098574604
2019-01-17 17 A,2083.516538375911
2019-01-17 18 A,2404.854575911328
2019-01-17 19 A,2624.912467221599
2019-01-17 20 A,2624.2199238772373
2019-01-17 21 A,2613.9195715060478
2019-01-17 22 A,2543.6363062617474
2019-01-17 23 A,2439.814137821442
2019-01-17 24 A,2303.6336795906946
2019-01-18 01 A,2036.2443600993163
2019-01-18 02 A,1738.200607055881
2019-01-18 03 A,1626.2671369548848
2019-01-18 04 A,1658.0197707457123
2019-01-18 05 A,1828.203201315303
2019-01-18 06 A,2038.6032588182718
2019-01-18 07 A,2288.853182835387
2019-01-18 08 A,2664.7065471917513
2019-01-18 09 A,2896.8716431513476
2019-01-18 10 A,2751.986562095644
2019-01-18 11 A,2640.10588857961
2019-01-18 12 A,2514.6916484710728
2019-01-18 13 A,2419.0327436213656
2019-01-18 14 A,2338.875764090967
2019-01-18 15 A,2159.5248928901474
2019-01-18 16 A,2150.321207680832
2019-01-18 17 A,2239.9590527690493
2019-01-18 18 A,2478.0420639459194
2019-01-18 19 A,2699.7277836117455
2019-01-18 20 A,2699.5836193283803
2019-01-18 21 A,2689.2332557997684
2019-01-18 22 A,2553.727554224244
2019-01-18 23 A,2507.4899495362856
2019-01-18 24 A,2378.4919387588166
2019-01-19 01 A,2081.1944324614037
2019-01-19 02 A,1789.1455388127563
2019-01-19 03 A,1628.7784844429912
2019-01-19 04 A,1674.6176395419695
2019-01-19 05 A,1815.962601934051
2019-01-19 06 A,1980.4754480040158
2019-01-19 07 A,2166.5601346586927
2019-01-19 08 A,2318.100400677401
2019-01-19 09 A,2458.9819196130566
2019-01-19 10 A,2529.2164705257373
2019-01-19 11 A,2526.5055029696096
2019-01-19 12 A,2429.135690222264
2019-01-19 13 A,2271.892731427602
2019-01-19 14 A,2208.86750692262
2019-01-19 15 A,2035.9763354321797
2019-01-19 16 A,1986.9330052519772
2019-01-19 17 A,2130.68376663798
2019-01-19 18 A,2377.3801420381674
2019-01-19 19 A,2560.2084011706884
2019-01-19 20 A,2555.4963084175492
2019-01-19 21 A,2507.4058593987675
2019-01-19 22 A,2344.578068030437
2019-01-19 23 A,2330.861947096339
2019-01-19 24 A,2199.761818480464
2019-01-20 01 A,1973.601740548147
2019-01-20 02 A,1722.3450777751846
2019-01-20 03 A,1566.7587443812859
2019-01-20 04 A,1607.6186714582782
2019-01-20 05 A,1790.9740698123674
2019-01-20 06 A,1922.8975349642462
2019-01-20 07 A,1997.9397939622934
2019-01-20 08 A,2171.3359541898935
2019-01-20 09 A,2389.681578833616
2019-01-20 10 A,2474.4111705159503
2019-01-20 11 A,2499.1922544452304
2019-01-20 12 A,2304.6236828851315
2019-01-20 13 A,2259.027925973825
2019-01-20 14 A,2163.5465491651935
2019-01-20 15 A,2116.902372581988
2019-01-20 16 A,2011.0847216897246
2019-01-20 17 A,2156.9311161262
2019-01-20 18 A,2369.688569394489
2019-01-20 19 A,2560.2084011706884
2019-01-20 20 A,2567.8626313667833
2019-01-20 21 A,2508.1098258692887
2019-01-20 22 A,2401.3954050328666
2019-01-20 23 A,2331.112166168051
2019-01-20 24 A,2199.761818480464
2019-01-21 01 A,2086.9305584243366
2019-01-21 02 A,1754.6533960325894
2019-01-21 03 A,1621.96687433211
2019-01-21 04 A,1675.314434603476
2019-01-21 05 A,1893.654137832653
2019-01-21 06 A,2092.1852599315057
2019-01-21 07 A,2374.498488239432
2019-01-21 08 A,2717.1742081801913
2019-01-21 09 A,3005.0082949988882
2019-01-21 10 A,2828.2562229326227
2019-01-21 11 A,2676.3118030426217
2019-01-21 12 A,2589.3569583991316
2019-01-21 13 A,2466.5631572631805
2019-01-21 14 A,2395.7711557436583
2019-01-21 15 A,2305.602151348605
2019-01-21 16 A,2175.84807846735
2019-01-21 17 A,2255.029911319428
2019-01-21 18 A,2476.522108197127
2019-01-21 19 A,2679.937626301952
2019-01-21 20 A,2700.9033390191566
2019-01-21 21 A,2619.735404467897
2019-01-21 22 A,2558.089883247682
2019-01-21 23 A,2462.641149317012
2019-01-21 24 A,2339.376710652211
2019-01-22 01 A,2079.098333123303
2019-01-22 02 A,1792.2695075260476
2019-01-22 03 A,1655.3559526887009
2019-01-22 04 A,1699.7704723490301
2019-01-22 05 A,1900.4853990915728
2019-01-22 06 A,2138.737222568334
2019-01-22 07 A,2386.447230426645
2019-01-22 08 A,2914.9934280180596
2019-01-22 09 A,3027.860791466382
2019-01-22 10 A,2933.132703761598
2019-01-22 11 A,2675.2749875825466
2019-01-22 12 A,2594.9979347452854
2019-01-22 13 A,2473.842005978516
2019-01-22 14 A,2410.740171860326
2019-01-22 15 A,2258.578279776449
2019-01-22 16 A,2159.826006519968
2019-01-22 17 A,2254.1137245704
2019-01-22 18 A,2491.461609997825
2019-01-22 19 A,2683.268170649268
2019-01-22 20 A,2759.981996613814
2019-01-22 21 A,2700.223635908779
2019-01-22 22 A,2618.450880868522
2019-01-22 23 A,2555.3903776617803
2019-01-22 24 A,2470.2652178055355
2019-01-23 01 A,2188.990626014478
2019-01-23 02 A,1890.9096257704914
2019-01-23 03 A,1768.2714985201706
2019-01-23 04 A,1809.0340259678715
2019-01-23 05 A,2051.5503483017155
2019-01-23 06 A,2255.1742717809684
2019-01-23 07 A,2472.5190247434057
2019-01-23 08 A,2989.2126330195765
2019-01-23 09 A,3138.6763304784313
2019-01-23 10 A,3000.827614333288
2019-01-23 11 A,2778.1979904514974
2019-01-23 12 A,2696.776623676482
2019-01-23 13 A,2565.0449357541543
2019-01-23 14 A,2491.8653621981407
2019-01-23 15 A,2405.2247319606704
2019-01-23 16 A,2318.1440393084504
2019-01-23 17 A,2374.8318209180875
2019-01-23 18 A,2583.6163188336723
2019-01-23 19 A,2773.0675537870984
2019-01-23 20 A,2849.5358249336928
2019-01-23 21 A,2779.555006270389
2019-01-23 22 A,2749.214399815796
2019-01-23 23 A,2684.750940503235
2019-01-23 24 A,2594.695406933122
2019-01-24 01 A,2337.7433809828244
2019-01-24 02 A,2117.6632211190195
2019-01-24 03 A,1912.7929670695228
2019-01-24 04 A,1962.8756100959936
2019-01-24 05 A,2187.3990609222233
2019-01-24 06 A,2309.164655910735
2019-01-24 07 A,2495.8726223723415
2019-01-24 08 A,2934.5406898565006
2019-01-24 09 A,3124.689500633399
2019-01-24 10 A,2990.2851386945636
2019-01-24 11 A,2799.092802091115
2019-01-24 12 A,2714.2804139524105
2019-01-24 13 A,2562.0711758338134
2019-01-24 14 A,2497.760174698591
2019-01-24 15 A,2396.384889995396
2019-01-24 16 A,2331.9431487942766
2019-01-24 17 A,2375.1651616348
2019-01-24 18 A,2588.846685012932
2019-01-24 19 A,2780.7420408594026
2019-01-24 20 A,2826.585750924771
2019-01-24 21 A,2779.555006270389
2019-01-24 22 A,2758.7974013281023
2019-01-24 23 A,2695.384175869503
2019-01-24 24 A,2580.8375748288167
2019-01-25 01 A,2348.6227705799483
2019-01-25 02 A,2119.8491702260303
2019-01-25 03 A,1951.590356753722
2019-01-25 04 A,2010.6771681262303
2019-01-25 05 A,2231.0684675013026
2019-01-25 06 A,2353.909920554893
2019-01-25 07 A,2533.3052483072283
2019-01-25 08 A,2918.9412951246345
2019-01-25 09 A,3155.300021731919
2019-01-25 10 A,3025.4669694603526
2019-01-25 11 A,2807.2562337918375
2019-01-25 12 A,2726.7683287145474
2019-01-25 13 A,2626.37267522418
2019-01-25 14 A,2490.925772746051
2019-01-25 15 A,2431.1938903765963
2019-01-25 16 A,2337.1137649336483
2019-01-25 17 A,2423.373544249183
2019-01-25 18 A,2635.830232797823
2019-01-25 19 A,2789.00556124805
2019-01-25 20 A,2787.718437971111
2019-01-25 21 A,2787.8185266590367
2019-01-25 22 A,2719.9466892178543
2019-01-25 23 A,2676.7876715373395
2019-01-25 24 A,2522.0375188947846
2019-01-26 01 A,2174.1602435337136
2019-01-26 02 A,2017.8902514556557
2019-01-26 03 A,1838.2296780908175
2019-01-26 04 A,1864.6037238673762
2019-01-26 05 A,2008.8124238911478
2019-01-26 06 A,2096.130684336066
2019-01-26 07 A,2159.688613595091
2019-01-26 08 A,2382.537356933303
2019-01-26 09 A,2677.719379520705
2019-01-26 10 A,2714.335298996448
2019-01-26 11 A,2598.5893265250797
2019-01-26 12 A,2533.421585515303
2019-01-26 13 A,2327.259884687744
2019-01-26 14 A,2302.6488578030194
2019-01-26 15 A,2281.2006476125075
2019-01-26 16 A,2209.8840373253033
2019-01-26 17 A,2295.634575209899
2019-01-26 18 A,2383.47729159524
2019-01-26 19 A,2574.6246056886857
2019-01-26 20 A,2627.2104053935973
2019-01-26 21 A,2560.231386792693
2019-01-26 22 A,2406.091705060057
2019-01-26 23 A,2348.901084186637
2019-01-26 24 A,2250.8594936532545
2019-01-27 01 A,2113.033207779256
2019-01-27 02 A,1869.2712468093732
2019-01-27 03 A,1798.2458513379026
2019-01-27 04 A,1797.9466378151783
2019-01-27 05 A,1947.5254929020407
2019-01-27 06 A,2005.8741877381965
2019-01-27 07 A,2074.9358672606263
2019-01-27 08 A,2222.178773076057
2019-01-27 09 A,2439.6984632870453
2019-01-27 10 A,2487.3263971916967
2019-01-27 11 A,2495.60621002733
2019-01-27 12 A,2355.10112645341
2019-01-27 13 A,2297.3726004726213
2019-01-27 14 A,2243.3098713647832
2019-01-27 15 A,2181.6367172037935
2019-01-27 16 A,2128.8273463772316
2019-01-27 17 A,2203.378306319157
2019-01-27 18 A,2366.7332051387393
2019-01-27 19 A,2551.3610331500577
2019-01-27 20 A,2557.3981945784335
2019-01-27 21 A,2535.7082929292196
2019-01-27 22 A,2463.115855073505
2019-01-27 23 A,2319.6854213025204
2019-01-27 24 A,2263.7093375669297
2019-01-28 01 A,2150.362485252509
2019-01-28 02 A,1849.6246428091274
2019-01-28 03 A,1744.9323166868442
2019-01-28 04 A,1773.636754806939
2019-01-28 05 A,1981.3286137046964
2019-01-28 06 A,2168.015641921493
2019-01-28 07 A,2415.777810711611
2019-01-28 08 A,2820.3537116761795
2019-01-28 09 A,3012.4023357033
2019-01-28 10 A,2845.0315116761294
2019-01-28 11 A,2681.085909551894
2019-01-28 12 A,2570.8020060541926
2019-01-28 13 A,2459.5768937673542
2019-01-28 14 A,2373.692577169543
2019-01-28 15 A,2234.895033693222
2019-01-28 16 A,2152.004593934321
2019-01-28 17 A,2221.526432708459
2019-01-28 18 A,2472.3822728597224
2019-01-28 19 A,2684.5808320437936
2019-01-28 20 A,2738.2865192786385
2019-01-28 21 A,2671.233481203158
2019-01-28 22 A,2601.2865004286227
2019-01-28 23 A,2520.3133210954456
2019-01-28 24 A,2358.8266984992415
2019-01-29 01 A,2098.6054419300353
2019-01-29 02 A,1825.61057362157
2019-01-29 03 A,1684.659119170662
2019-01-29 04 A,1748.5546188242186
2019-01-29 05 A,1890.9813072601082
2019-01-29 06 A,2089.3726867054907
2019-01-29 07 A,2403.215453648038
2019-01-29 08 A,2869.7590105144623
2019-01-29 09 A,2995.671586987233
2019-01-29 10 A,2918.4404366580407
2019-01-29 11 A,2714.925580713336
2019-01-29 12 A,2627.095434365713
2019-01-29 13 A,2520.2954703574587
2019-01-29 14 A,2432.737170296418
2019-01-29 15 A,2351.961008383318
2019-01-29 16 A,2213.6457629330857
2019-01-29 17 A,2258.529778845731
2019-01-29 18 A,2467.9254317263903
2019-01-29 19 A,2641.1419266540706
2019-01-29 20 A,2738.05533643534
2019-01-29 21 A,2647.2862483034164
2019-01-29 22 A,2564.3345850512287
2019-01-29 23 A,2481.4952926802366
2019-01-29 24 A,2337.351814257014
2019-01-30 01 A,2046.3898530345796
2019-01-30 02 A,1824.3987879305969
2019-01-30 03 A,1681.9257394563326
2019-01-30 04 A,1725.9812548730197
2019-01-30 05 A,1864.8711012989713
2019-01-30 06 A,1986.668277629446
2019-01-30 07 A,2265.7704173625434
2019-01-30 08 A,2659.3306948867908
2019-01-30 09 A,2858.203199537311
2019-01-30 10 A,2748.74482442459
2019-01-30 11 A,2621.12490970127
2019-01-30 12 A,2510.9684365330104
2019-01-30 13 A,2405.87615059357
2019-01-30 14 A,2315.5319202939822
2019-01-30 15 A,2158.2186021704647
2019-01-30 16 A,2078.8249896795487
